LINE;PARTICLE;CYCO_SET;CONFIG;MONITOR;DATE;LABEL;DISK;PATH
XPR3;CARB;STABILITY_270;SCAN_HE-025A-QUE;CAMeretta;26/02/2023;CAM XPR, Run1;S:;Area Ricerca\XPR\data\CAMeretta\2023-02-26_ProblemaIntegrale\Carbonio\HE-025A-QUE\270mm\Run1CamXPR\CarbSO2_*\
XPR3;CARB;STABILITY_270;SCAN_HE-025A-QUE;DDS;26/02/2023;CAM XPR, Run1;S:;Area Ricerca\XPR\data\CAMeretta\2023-02-26_ProblemaIntegrale\Carbonio\HE-025A-QUE\270mm\Run1CamXPR\PRC-544-*\
XPR3;CARB;STABILITY_270;SCAN_HE-025A-QUE;CAMeretta;26/02/2023;CAM XPR, Run2;S:;Area Ricerca\XPR\data\CAMeretta\2023-02-26_ProblemaIntegrale\Carbonio\HE-025A-QUE\270mm\Run2CamXPR\CarbSO2_*\
XPR3;CARB;STABILITY_270;SCAN_HE-025A-QUE;DDS;26/02/2023;CAM XPR, Run2;S:;Area Ricerca\XPR\data\CAMeretta\2023-02-26_ProblemaIntegrale\Carbonio\HE-025A-QUE\270mm\Run2CamXPR\PRC-544-*\
XPR3;CARB;STABILITY_270;SCAN_HE-025A-QUE;CAMeretta;26/02/2023;CAM OP, Rotated, Run1;S:;Area Ricerca\XPR\data\CAMeretta\2023-02-26_ProblemaIntegrale\Carbonio\HE-025A-QUE\270mm\Run3CamOldRev\CarbSO2_*\
XPR3;CARB;STABILITY_270;SCAN_HE-025A-QUE;DDS;26/02/2023;CAM OP, Rotated, Run1;S:;Area Ricerca\XPR\data\CAMeretta\2023-02-26_ProblemaIntegrale\Carbonio\HE-025A-QUE\270mm\Run3CamOldRev\PRC-544-*\
XPR3;CARB;STABILITY_270;SCAN_HE-025A-QUE;CAMeretta;26/02/2023;CAM OP, Rotated, Run2;S:;Area Ricerca\XPR\data\CAMeretta\2023-02-26_ProblemaIntegrale\Carbonio\HE-025A-QUE\270mm\Run4CamOldRev\CarbSO2_*\
XPR3;CARB;STABILITY_270;SCAN_HE-025A-QUE;DDS;26/02/2023;CAM OP, Rotated, Run2;S:;Area Ricerca\XPR\data\CAMeretta\2023-02-26_ProblemaIntegrale\Carbonio\HE-025A-QUE\270mm\Run4CamOldRev\PRC-544-*\
XPR3;CARB;STABILITY_270;SCAN_HE-025A-QUE;CAMeretta;26/02/2023;CAM OP, Run1;S:;Area Ricerca\XPR\data\CAMeretta\2023-02-26_ProblemaIntegrale\Carbonio\HE-025A-QUE\270mm\Run5CamOld\CarbSO2_*\
XPR3;CARB;STABILITY_270;SCAN_HE-025A-QUE;DDS;26/02/2023;CAM OP, Run1;S:;Area Ricerca\XPR\data\CAMeretta\2023-02-26_ProblemaIntegrale\Carbonio\HE-025A-QUE\270mm\Run5CamOld\PRC-544-*\
XPR3;CARB;STABILITY_270;SCAN_HE-025A-QUE;CAMeretta;26/02/2023;CAM OP, Run2;S:;Area Ricerca\XPR\data\CAMeretta\2023-02-26_ProblemaIntegrale\Carbonio\HE-025A-QUE\270mm\Run6CamOld\CarbSO2_*\
XPR3;CARB;STABILITY_270;SCAN_HE-025A-QUE;DDS;26/02/2023;CAM OP, Run2;S:;Area Ricerca\XPR\data\CAMeretta\2023-02-26_ProblemaIntegrale\Carbonio\HE-025A-QUE\270mm\Run6CamOld\PRC-544-*\
XPR3;CARB;STABILITY_270;SCAN_HE-025A-QUE;CAMeretta;26/02/2023;CAM XPR, no HV;S:;Area Ricerca\XPR\data\CAMeretta\2023-02-26_ProblemaIntegrale\Carbonio\HE-025A-QUE\270mm\Run7CamNoHV\CarbSO2_*\
XPR3;CARB;STABILITY_270;SCAN_HE-025A-QUE;DDS;26/02/2023;CAM XPR, no HV;S:;Area Ricerca\XPR\data\CAMeretta\2023-02-26_ProblemaIntegrale\Carbonio\HE-025A-QUE\270mm\Run7CamNoHV\PRC-544-*\
;;;;;;;;Check cablaggi SFP in XPR
XPR3;PROT;STABILITY_320;SCAN_HE-007A-CEB_HOR;HE-010B-QPP;05/02/2023;pre_inversione_cavi;S:;Area Ricerca\XPR\data\SFP\2023-02-05_check_cablaggi_SFP\HE-007A-CEB\HE_010B_QPP\HOR\PRC-544-230205-0646\
XPR3;PROT;STABILITY_320;SCAN_HE-007A-CEB_HOR;HE-010B-QPP;05/02/2023;post_inversione_cavi;S:;Area Ricerca\XPR\data\SFP\2023-02-05_check_cablaggi_SFP\HE-007A-CEB\HE_010B_QPP\HOR\PRC-544-230205-0729\
XPR3;PROT;STABILITY_320;SCAN_HE-007A-CEB_HOR;HE-012B-SFP;05/02/2023;pre_inversione_cavi;S:;Area Ricerca\XPR\data\SFP\2023-02-05_check_cablaggi_SFP\HE-007A-CEB\HE_012B_SFP\HOR\PRC-544-230205-0742\
XPR3;PROT;STABILITY_320;SCAN_HE-007A-CEB_HOR;HE-012B-SFP;05/02/2023;post_inversione_cavi;S:;Area Ricerca\XPR\data\SFP\2023-02-05_check_cablaggi_SFP\HE-007A-CEB\HE_012B_SFP\HOR\PRC-544-230205-0747\
XPR3;PROT;STABILITY_320;SCAN_HE-027A-CEB_HOR;HE-030B-SFP;05/02/2023;pre_inversione_cavi;S:;Area Ricerca\XPR\data\SFP\2023-02-05_check_cablaggi_SFP\HE-027A-CEB\HE_030B_SFP\HOR\PRC-544-230205-0756\
XPR3;PROT;STABILITY_320;SCAN_HE-027A-CEB_HOR;HE-030B-SFP;05/02/2023;post_inversione_cavi;S:;Area Ricerca\XPR\data\SFP\2023-02-05_check_cablaggi_SFP\HE-027A-CEB\HE_030B_SFP\HOR\PRC-544-230205-0800\
XPR3;PROT;STABILITY_320;SCAN_HE-027A-CEB_VER;HE-030B-SFP;05/02/2023;post_inversione_cavi;S:;Area Ricerca\XPR\data\SFP\2023-02-05_check_cablaggi_SFP\HE-027A-CEB\HE_030B_SFP\VER\PRC-544-230205-0805\
;;;;;;;;Steering
XPR2;CARB;STEERING;TM;CAMeretta;26/10/2022;pre_steering;K:;Area dati MD\00Steering\SteeringPazienti\carbonio\XPR2\2022.10.26\CarbSO2_*\
XPR2;CARB;STEERING;TM;DDS;26/10/2022;pre_steering;K:;Area dati MD\00Steering\SteeringPazienti\carbonio\XPR2\2022.10.26\PRC-544-*-DDSF\
XPR2;CARB;STEERING;TM;HE-030B-SFP;26/10/2022;pre_steering;K:;Area dati MD\00Steering\SteeringPazienti\carbonio\XPR2\2022.10.26\PRC-544-*-SFP\
XPR2;CARB;STEERING;TM;CAMeretta;01/11/2022;post_steering;K:;Area dati MD\00Steering\SteeringPazienti\carbonio\XPR2\2022.11.01\CarbSO2_*\
XPR2;CARB;STEERING;TM;DDS;01/11/2022;post_steering;K:;Area dati MD\00Steering\SteeringPazienti\carbonio\XPR2\2022.11.01\PRC-544-*-DDSF\
XPR2;CARB;STEERING;TM;HE-030B-SFP;01/11/2022;post_steering;K:;Area dati MD\00Steering\SteeringPazienti\carbonio\XPR2\2022.11.01\PRC-544-*-SFP\
XPR2;PROT;STEERING;TM;CAMeretta;27/10/2022;pre_steering;K:;Area dati MD\00Steering\SteeringPazienti\protoni\XPR2\2022.10.27\ProtSO1_*\
XPR2;PROT;STEERING;TM;DDS;27/10/2022;pre_steering;K:;Area dati MD\00Steering\SteeringPazienti\protoni\XPR2\2022.10.27\PRC-544-*-DDSF\
XPR2;PROT;STEERING;TM;HE-030B-SFP;27/10/2022;pre_steering;K:;Area dati MD\00Steering\SteeringPazienti\protoni\XPR2\2022.10.27\PRC-544-*-SFP\
XPR2;PROT;STEERING;TM;CAMeretta;01/11/2022;pre_steering;K:;Area dati MD\00Steering\SteeringPazienti\protoni\XPR2\2022.11.01\ProtSO1_*\
XPR2;PROT;STEERING;TM;DDS;01/11/2022;pre_steering;K:;Area dati MD\00Steering\SteeringPazienti\protoni\XPR2\2022.11.01\PRC-544-*-DDSF\
XPR2;PROT;STEERING;TM;HE-030B-SFP;01/11/2022;pre_steering;K:;Area dati MD\00Steering\SteeringPazienti\protoni\XPR2\2022.11.01\PRC-544-*-SFP\
XPR3;CARB;STEERING;TM;CAMeretta;24/10/2022;pre_steering;K:;Area dati MD\00Steering\SteeringPazienti\carbonio\XPR3\2022.10.24\CarbSO2_*\
XPR3;CARB;STEERING;TM;DDS;24/10/2022;pre_steering;K:;Area dati MD\00Steering\SteeringPazienti\carbonio\XPR3\2022.10.24\PRC-544-*-DDSF\
